worker_id,mobile,skill,level,origin_state,origin_district,monthly_income,payment_mode,signup-latitude,signup-longitude,signup-date
1,9268154467,Factory Labour,Junior,UTTAR PRADESH,Ballia,20000,cash,22.9576832,72.5820358,2020-11-01
2,9283837422,Factory Labour,Senior,UTTAR PRADESH,Ghazipur,15000,bank,22.9576832,72.5820358,2020-11-01
3,8946790483,Factory Labour,Junior,GUJARAT,Patan,12000,bank,22.9576832,72.5820358,2020-11-01
4,6247095209,Labourer,Senior,BIHAR,Muzaffarpur,12000,cash,23.018984,72.5373321,2020-11-02
5,8946790483,Labourer,Junior,BIHAR,Muzaffarpur,12000,cash,23.018984,72.5373321,2020-11-02
6,6201515961,Labourer,Junior,BIHAR,Muzaffarpur,10000,cash,23.018984,72.5373321,2020-11-02
7,8946790483,Labourer,Junior,BIHAR,Muzaffarpur,10000,cash,23.0190939,72.5375711,2020-11-02
8,8946790483,Carpenter,Senior,UTTAR PRADESH,Ambedkar Nagar,15000,cash,23.042058,72.5291712,2020-11-02
9,8946790483,Carpenter,Senior,UTTAR PRADESH,Ambedkar Nagar,12000,cash,23.0420999,72.529541,2020-11-02
10,8987326914,Carpenter,Senior,UTTAR PRADESH,Farrukhabad,12000,cash,23.0423498,72.5304151,2020-11-02
11,2884707092,Carpenter,Junior,UTTAR PRADESH,Sant Kabir Nagar,12000,cash,23.0190939,72.5375711,2020-11-02
12,6660862944,Carpenter,Junior,BIHAR,Katihar,7000,cash,23.0190939,72.5375711,2020-11-02
13,5988700693,Carpenter,Junior,UTTAR PRADESH,Kushinagar,15000,cash,23.0190939,72.5375711,2020-11-02
14,4559489111,Labourer,Junior,MADHYA PRADESH,Jhabua,9000,cash,23.0402007,72.5290236,2020-11-02
15,9760191677,Carpenter,Senior,MADHYA PRADESH,Jhabua,15000,cash,23.0421756,72.5294192,2020-11-02
16,1852286879,Scaffolding,Senior,GUJARAT,Ahmadabad,10000,cash,23.0410315,72.5295449,2020-11-02
17,9425628195,Excavation,Senior,GUJARAT,Ahmadabad,10000,cash,23.0410315,72.5295449,2020-11-02
18,5367122772,Mason,Junior,MADHYA PRADESH,Jhabua,8000,cash,23.042286,72.5295993,2020-11-02
19,8433542404,Carpenter,Junior,BIHAR,Purnia,12000,cash,23.0410195,72.5295926,2020-11-02
20,9667605229,Carpenter,Senior,BIHAR,Purnia,15000,cash,23.040841,72.5294956,2020-11-02
21,6919393331,Carpenter,Junior,BIHAR,Purnia,9000,cash,23.0410307,72.529649,2020-11-02
22,5699575230,Formwork,Junior,BIHAR,Araria,10000,cash,23.0411111,72.5295706,2020-11-02
23,8946790483,Carpenter,Senior,BIHAR,Purnia,18000,cash,23.0418763,72.5294228,2020-11-02
24,1897782704,Carpenter,Senior,BIHAR,Purnia,25000,cash,23.0399989,72.5291747,2020-11-02
25,5732261740,Carpenter,Senior,BIHAR,Purnia,17000,cash,23.0411653,72.5293191,2020-11-02
26,9403229385,Labourer,Junior,MADHYA PRADESH,Jhabua,9000,cash,23.0412473,72.5293622,2020-11-02
27,7010453920,Mason,Junior,RAJASTHAN,Udaipur,8000,cash,23.042376,72.5288015,2020-11-02
28,1395614422,Labourer,Junior,GUJARAT,Dahod,8500,cash,23.0186671,72.5372934,2020-11-02
29,4808719067,Excavation,Senior,MADHYA PRADESH,Jhabua,15000,cash,23.0400243,72.5302804,2020-11-02
30,6900289355,Labourer,Junior,GUJARAT,Chhota Udaipur,8000,cash,23.0419811,72.5296232,2020-11-02
31,9733291641,Mason,Senior,MADHYA PRADESH,Alirajpur,18000,cash,23.0430712,72.5317593,2020-11-02
32,2610013147,Carpenter,Senior,GUJARAT,Banas Kantha,10000,cash,22.955898,72.5853625,2020-11-02
33,7662578052,Labourer,Senior,RAJASTHAN,Banswara,15000,cash,22.9568705,72.5844207,2020-11-02
34,7270638899,Mason,Junior,RAJASTHAN,Banswara,10000,cash,22.9571317,72.5844931,2020-11-02
35,9860411804,Mason,Senior,RAJASTHAN,Banswara,8000,cash,22.9568705,72.5844207,2020-11-03
36,3443703504,Mason,Senior,RAJASTHAN,Banswara,10000,cash,22.9572497,72.5841555,2020-11-03
